поворот направо, turn_right
поворот налево, turn_left
тормоз, brake
газ, gas
автомобиль, car
включите левый поворотник, turn_on_the_left_turn_signal
включите правый поворотник, turn_on_the_right_turn_signal
быстрее, faster
нажмите газ, press_the_gas
до перекрёстка, to_the_crossroads
дорога, road
едем прямо, going_straight
задний ход, reverse
выключите левый поворотник, turn_off_the_left_turn_signal
можно, can
начинаем движение, start_moving
нельзя, must_not
необозначенный перекрёсток, unmarked_intersection
нерегулируемый перекрёсток, unregulated_intersection
не сдали, did_not_pass
не торопитесь, do_not_rush
нужно, need
обозначенный перекрёсток, designated_intersection
перестроение, lane_change
пешеходный переход, crosswalk
поднимите сцепление, lift_the_clutch
помедленнее, slower
после перекрёстка, after_the_crossroads
выключите правый поворотник, turn_off_the_right_turn_signal
притормозите, slow_down
разворот, reversal
разрешено, allowed
регулируемый перекрёсток, regulated_intersection
светофор, traffic_light
сдали, passed
смотрите на дорогу, look_at_the_road
выжмите сцепление, squeeze_the_clutch
съезд с дороги, exit_from_the_road
выключите фары, turn_off_the_headlights
чуть-чуть быстрее, a_little_bit_faster
посмотрите внимательно, look_carefully
включите фары, turn_on_the_headlights
